Node,  X Coordinate (m),  Y Coordinate (m),  Liquid X Volume Flux (m3/[m2 s]),  Liquid Y Volume Flux (m3/[m2 s])
0000000227,    1250.00000    ,    50.0000000    ,  -0.136766967E-07,  -0.136530597E-09
0000000228,    1300.00000    ,    50.0000000    ,  -0.133966838E-07,  -0.124209185E-09
0000000229,    1350.00000    ,    50.0000000    ,  -0.131416751E-07,  -0.114159643E-09
0000000230,    1400.00000    ,    50.0000000    ,  -0.129071180E-07,  -0.105905470E-09
0000000231,    1450.00000    ,    50.0000000    ,  -0.126894056E-07,  -0.991026427E-10
0000000232,    1500.00000    ,    50.0000000    ,  -0.124856195E-07,  -0.934983658E-10
0000000233,    1550.00000    ,    50.0000000    ,  -0.122933498E-07,  -0.889043548E-10
0000000234,    1600.00000    ,    50.0000000    ,  -0.121105674E-07,  -0.851790733E-10
0000000235,    1650.00000    ,    50.0000000    ,  -0.119355306E-07,  -0.822156464E-10
0000000236,    1700.00000    ,    50.0000000    ,  -0.117667163E-07,  -0.799334697E-10
0000000237,    1750.00000    ,    50.0000000    ,  -0.116027666E-07,  -0.782722789E-10
0000000238,    1800.00000    ,    50.0000000    ,  -0.114424487E-07,  -0.771878974E-10
0000000239,    1850.00000    ,    50.0000000    ,  -0.112846223E-07,  -0.766491513E-10
0000000240,    1900.00000    ,    50.0000000    ,  -0.111282138E-07,  -0.766356130E-10
0000000241,    1950.00000    ,    50.0000000    ,  -0.109721950E-07,  -0.771359442E-10
0000000242,    2000.00000    ,    50.0000000    ,  -0.108155652E-07,  -0.781466822E-10
0000000243,    2050.00000    ,    50.0000000    ,  -0.106573354E-07,  -0.796713589E-10
0000000244,    2100.00000    ,    50.0000000    ,  -0.104965156E-07,  -0.817198756E-10
0000000245,    2150.00000    ,    50.0000000    ,  -0.103321019E-07,  -0.843080779E-10
0000000246,    2200.00000    ,    50.0000000    ,  -0.101630660E-07,  -0.874574916E-10
0000000247,    2250.00000    ,    50.0000000    ,  -0.998834421E-08,  -0.911951890E-10
0000000248,    2300.00000    ,    50.0000000    ,  -0.980682839E-08,  -0.955537602E-10
0000000249,    2350.00000    ,    50.0000000    ,  -0.961735588E-08,  -0.100571370E-09
0000000250,    2400.00000    ,    50.0000000    ,  -0.941870044E-08,  -0.106291868E-09
0000000251,    2450.00000    ,    50.0000000    ,  -0.920956329E-08,  -0.112764924E-09
